title,description,lat,lng,marker-size,marker-color,stroke,stroke-width
蒲刈中学校,呉市蒲刈町向771,34.18445308,132.6923078,large,#FF0000,#FFFFFF,2
蒲刈まちづくりセンター,呉市蒲刈町向1112-29,34.1880035,132.6840373,large,#FF0000,#FFFFFF,2
蒲刈町開発総合センター,呉市蒲刈町田戸2308-1,34.196837,132.722472,large,#FF0000,#FFFFFF,2
宮盛集会所,呉市蒲刈町宮盛字前田913-1,34.19456,132.7362878,large,#FF0000,#FFFFFF,2
蒲刈介護予防センター,呉市蒲刈町大浦字宮田新開5109-2,34.18003,132.75345,large,#FF0000,#FFFFFF,2
向清水集会所,呉市蒲刈町向2535-1,34.18826047,132.6949981,large,#FF0000,#FFFFFF,2
向コミュニティセンター,呉市蒲刈町向3206番地1,34.1913104,132.6888152,large,#FF0000,#FFFFFF,2
安浦まちづくりセンター,呉市安浦町中央4丁目3-2,34.2819605,132.7435157,large,#FF0000,#FFFFFF,2
（旧）野路東小学校,呉市安浦町女子畑639,34.30867481,132.7476284,large,#FF0000,#FFFFFF,2
安浦中学校,呉市安浦町中央4丁目2-1,34.28273791,132.7438974,large,#FF0000,#FFFFFF,2
